ticker,monitor_bucket,in_current_scan,snapshots_seen,first_seen_snapshot,last_seen_snapshot,promotion_stage,prior_promotion_stage,stage_delta_vs_prev,dynamic_status,prior_dynamic_status,status_delta_vs_prev,validation_lane,governance_role,scan_candidate_track,scan_quality_compounder_fit,scan_quality_compounder_score,history_emergence_persistence_score,scan_event_quality_score,profile_count,pit_cluster_key,pit_free_float_ratio_current,pit_low_float_flag,pit_listing_age_days,pit_fx_return_21d,pit_fx_headwind_flag,pit_earnings_snapshot_count,pit_data_context_score,recent_score,promotion_score,dynamic_conviction_score,monitor_priority_score,needs_algo_attention
KLAC,legacy_selection_gap,1,14,2026-03-20,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,weak,watchlist,nan,weak,0.0,1.4,0.0,3,semiconductors,0.9977,0,4148.0,0.0,0,2,0.925,0.0,57.4405,5.1665,6.62,1
AMAT,legacy_selection_gap,1,14,2026-03-20,2026-04-11,watch_queue,watch_queue,0,watch,watch,0,weak,watchlist,nan,weak,0.0,1.4,0.0,3,semiconductors,0.9956,0,4148.0,0.0,0,1,0.8875,0.0,57.4066,5.1509,6.62,1
RIG,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,medium,7.1806,2.0667,-0.2322,3,oil-gas,0.8204,0,4148.0,0.0,0,1,0.8875,1.1772,94.235,16.8915,6.1455,0
SM,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,mixed_long,reserve,fringe,low,5.6536,2.7667,-0.2198,1,oil-gas,0.9844,0,4148.0,0.0,0,1,0.8875,0.2204,1087.2004,11.1288,6.1256,0
AAOI,legacy_universe_gap,1,14,2026-03-20,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,persistent_leader,weak,0.0,3.75,0.0,3,optical-networking,0.9316,0,4148.0,0.0,0,1,0.8875,2.6664,-5483.6797,18.2565,6.0783,0
2382.TW,legacy_universe_gap,1,8,2026-03-28,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,low,5.9039,2.0778,0.013,3,technology,0.684,0,4148.0,0.0027,0,1,0.8875,0.2135,90.4527,11.6491,5.8758,0
0857.HK,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.6604,2.5333,0.1945,3,oil-gas,1.4087,0,4148.0,-0.0005,0,1,0.8875,0.5742,106.3416,9.9753,5.8415,0
8411.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,4.1567,2.1722,0.3209,2,financial-services,1.0129,0,4148.0,-0.0011,0,1,0.8875,0.4228,92.6577,9.8798,5.6011,0
0883.HK,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.4813,2.2,0.2932,3,oil-gas,0.4027,0,4148.0,-0.0005,0,1,0.8875,0.3827,95.2428,10.0262,5.5724,0
JCI,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.4567,2.2,0.0179,3,industrials,0.9966,0,4148.0,0.0,0,1,0.8875,0.564,92.5969,9.9872,5.5495,0
